City,Temperature (°C),Weather,Humidity (%),Wind Speed (m/s),Date
Surabaya,32.23,few clouds,67,2.06,2025-04-06 03:46:47
Malang,30.59,few clouds,75,1.75,2025-04-06 03:46:47
Kediri,34.04,broken clouds,66,3.97,2025-04-06 03:46:47
Jember,30.25,overcast clouds,64,1.9,2025-04-06 03:46:47
Mojokerto,32.1,broken clouds,68,2.01,2025-04-06 03:46:48
Probolinggo,31.68,scattered clouds,67,2.94,2025-04-06 03:46:48
Banyuwangi,30.36,overcast clouds,64,2.88,2025-04-06 03:46:48
Pasuruan,32.55,few clouds,68,2.97,2025-04-06 03:46:48
Lumajang,30.97,broken clouds,65,3.25,2025-04-06 03:46:48
Sidoarjo,29.98,few clouds,74,2.06,2025-04-06 03:46:48
Blitar,32.28,few clouds,68,3.76,2025-04-06 03:46:48
Tulungagung,32.36,broken clouds,67,3.12,2025-04-06 03:46:48
Trenggalek,31.78,broken clouds,66,2.54,2025-04-06 03:46:48
Ngawi,30.66,broken clouds,72,2.02,2025-04-06 03:46:48
Magetan,28.64,broken clouds,71,1.65,2025-04-06 03:46:48
Pacitan,30.05,scattered clouds,66,4.26,2025-04-06 03:46:48
Bondowoso,29.1,overcast clouds,66,0.6,2025-04-06 03:46:48
Situbondo,30.58,overcast clouds,64,1.88,2025-04-06 03:46:49
Jombang,33.1,scattered clouds,65,1.18,2025-04-06 03:46:49
Madiun,31.56,broken clouds,67,0.79,2025-04-06 03:46:49
